Location ID,Store Name,Store Number,Chain Name,Division Number,Address,City,State,Full Address,ZIP Code,isVerified,Latitude,Longitude
09700336,Harris Teeter - Long Neck,00336,HART,97,26370 Bay Farm Rd,Millsboro,DE,"26370 Bay Farm Rd, Millsboro, DE, USA",19966,True,38.6248613,-75.1948463
09700327,Harris Teeter - Bayside,00327,HART,97,31221 Americana Pkwy,Selbyville,DE,"31221 Americana Pkwy, Selbyville, DE, USA",19975,True,38.4694439,-75.1137177
09700380,Harris Teeter - Easton Marketplace,00380,HART,97,28528 Marlboro Ave,Easton,MD,"28528 Marlboro Ave, Easton, MD, USA",21601,True,38.7855161,-76.0871287
09700392,Harris Teeter - The Shops at Canton Crossing,00392,HART,97,3779 Boston St,Baltimore,MD,"3779 Boston St, Baltimore, MD, USA",21224,True,39.2748622,-76.56488740000002
09700376,Harris Teeter - McHenry Row,00376,HART,97,1801 Whetstone Way,Baltimore,MD,"1801 Whetstone Way, Baltimore, MD, USA",21230,True,39.2679636,-76.599803
09700364,Harris Teeter - Magothy Gateway,00364,HART,97,143 Ritchie Hwy,Severna Park,MD,"143 Ritchie Hwy, Severna Park, MD, USA",21146,True,39.1012505,-76.5651689
09700382,Harris Teeter - Turf Valley Towne Square,00382,HART,97,11075 Resort Rd,Ellicott City,MD,"11075 Resort Rd, Ellicott City, MD, USA",21042,True,39.2993186,-76.89745169999999
09700322,Harris Teeter - Kings Contrivance Village Center,00322,HART,97,8620 Guilford Rd,Columbia,MD,"8620 Guilford Rd, Columbia, MD, USA",21046,True,39.170022,-76.8642587
09700324,Harris Teeter - Bowie Marketplace,00324,HART,97,15501 Annapolis Rd Ste 400,Bowie,MD,"15501 Annapolis Rd Ste 400, Bowie, MD, USA",20715,True,38.9779703,-76.7337604
09700408,Harris Teeter - Towne Center at Laurel,00408,HART,97,14702 Baltimore Ave,Laurel,MD,"14702 Baltimore Ave, Laurel, MD, USA",20726,True,39.09312630000001,-76.8585678
09700323,Harris Teeter - Maple Lawn Market Place,00323,HART,97,8184 Westside Blvd,Fulton,MD,"8184 Westside Blvd, Fulton, MD, USA",20759,True,39.1496802,-76.9113237
01600803,Kroger - Weirton,00803,KROGER,16,100 Saint Thomas Dr,Weirton,WV,"100 Saint Thomas Dr, Weirton, WV, USA",26062,True,40.39668229999999,-80.5540881
01600512,Kroger - Hollywood Plaza,00512,KROGER,16,264 S Hollywood Blvd,Steubenville,OH,"264 S Hollywood Blvd, Steubenville, OH, USA",43952,True,40.3682464,-80.63959009999999
01600963,Kroger - Wintersville,00963,KROGER,16,858 Main St,Wintersville,OH,"858 Main St, Wintersville, OH, USA",43953,True,40.3749688,-80.70444599999999
01600268,Kroger - Wellsburg,00268,KROGER,16,91 27Th St,Wellsburg,WV,"91 27Th St, Wellsburg, WV, USA",26070,True,40.290526,-80.6091576
01600202,Kroger - Warwood,00202,KROGER,16,1241 Warwood Ave,Wheeling,WV,"1241 Warwood Ave, Wheeling, WV, USA",26003,True,40.1141592,-80.6996965
01600562,Kroger - Mt DeChantal,00562,KROGER,16,200 Mount De Chantal Rd,Wheeling,WV,"200 Mount De Chantal Rd, Wheeling, WV, USA",26003,True,40.0739165,-80.6987686
01600371,Kroger - Martins Ferry,00371,KROGER,16,400 Aetna St,Martins Ferry,OH,"400 Aetna St, Martins Ferry, OH, USA",43935,True,40.0868364,-80.73303899999999
01600558,Kroger - Bellaire,00558,KROGER,16,400 28Th St,Bellaire,OH,"400 28Th St, Bellaire, OH, USA",43906,True,40.0111046,-80.7452407
01600812,Kroger - St Clairsville,00812,KROGER,16,50789 Valley Plaza Dr,Saint Clairsville,OH,"50789 Valley Plaza Dr, Saint Clairsville, OH, USA",43950,True,40.0732348,-80.87153760000001
01600977,Kroger - Moundsville,00977,KROGER,16,1212 Lafayette Ave,Moundsville,WV,"1212 Lafayette Ave, Moundsville, WV, USA",26041,True,39.910159,-80.74866920000001
02900714,Kroger - Patteson,00714,KROGER,29,350 Patteson Dr,Morgantown,WV,"350 Patteson Dr, Morgantown, WV, USA",26505,True,39.6505419,-79.96814189999999
02900813,Kroger - Suncrest,00813,KROGER,29,500 Suncrest Town Centre Dr,Morgantown,WV,"500 Suncrest Town Centre Dr, Morgantown, WV, USA",26505,True,39.6508564,-79.94148
02900755,Kroger - Sabraton,00755,KROGER,29,1851 Earl L Core Rd,Morgantown,WV,"1851 Earl L Core Rd, Morgantown, WV, USA",26505,True,39.6215021,-79.9250527
540FC008,Kroger - - Cleveland Shed,FC008,KROGER,540,7574 Macedonia Rd,Bedford,OH,"7574 Macedonia Rd, Bedford, OH, USA",44146,True,41.3551003,-81.5091377
02900774,Kroger - Clarksburg,00774,KROGER,29,102 Emily Dr,Clarksburg,WV,"102 Emily Dr, Clarksburg, WV, USA",26301,True,39.2792422,-80.2796937
01600891,Kroger - Zanesville,00891,KROGER,16,3387 Maple Ave,Zanesville,OH,"3387 Maple Ave, Zanesville, OH, USA",43701,True,39.9827071,-82.0218725
02900800,Kroger Pharmacy - Kroger Pharmacy at Marietta Memorial Hospital,00800,KROGER,29,401 Matthew St,Marietta,OH,"401 Matthew St, Marietta, OH, USA",45750,True,39.4314605,-81.4651463
02900776,Kroger - Marietta,00776,KROGER,29,40 Acme St,Marietta,OH,"40 Acme St, Marietta, OH, USA",45750,True,39.41238209999999,-81.4287568
01600251,Kroger - Mcconnelsville,00251,KROGER,16,240 W Main St,McConnelsville,OH,"240 W Main St, McConnelsville, OH, USA",43756,True,39.6486466,-81.85623170000001
02900752,Kroger - 7th Street,00752,KROGER,29,2007 7Th St,Parkersburg,WV,"2007 7Th St, Parkersburg, WV, USA",26101,True,39.2687596,-81.5219284
02900722,Kroger - Buckhannon,00722,KROGER,29,80 Skyline Plaza Dr,Buckhannon,WV,"80 Skyline Plaza Dr, Buckhannon, WV, USA",26201,True,38.9733019,-80.23096650000001
02900799,Kroger - Belpre,00799,KROGER,29,1008 Washington Blvd,Belpre,OH,"1008 Washington Blvd, Belpre, OH, USA",45714,True,39.2754634,-81.58073259999999
02900753,Kroger - Division,00753,KROGER,29,930 Division St,Parkersburg,WV,"930 Division St, Parkersburg, WV, USA",26101,True,39.2493455,-81.55750019999999
02900730,Kroger - Elkins,00730,KROGER,29,450 11Th St,Elkins,WV,"450 11Th St, Elkins, WV, USA",26241,True,38.9177185,-79.8434565
02900739,Kroger - Gassaway,00739,KROGER,29,2908 State St,Gassaway,WV,"2908 State St, Gassaway, WV, USA",26624,True,38.6583628,-80.749416
09700388,Harris Teeter - Purcellville Gateway,00388,HART,97,105 Purcellville Gateway Dr,PURCELLVILLE,VA,"105 Purcellville Gateway Dr, PURCELLVILLE, VA, USA",20132,True,39.136507,-77.694305
542FC002,Harris Teeter - - Frederick Shed HT Trans,FC002,HART,542,7106 Geoffrey Way,Frederick,MD,"7106 Geoffrey Way, Frederick, MD, USA",21704,True,39.3525373,-77.4146128
540FC002,Kroger - - Frederick Shed,FC002,KROGER,540,7106 Geoffrey Way,Frederick,MD,"7106 Geoffrey Way, Frederick, MD, USA",21704,True,39.3525373,-77.4146128
09700100,Harris Teeter - Lansdowne Town Center,00100,HART,97,19350 Winmeade Dr,Leesburg,VA,"19350 Winmeade Dr, Leesburg, VA, USA",20176,True,39.08065010000001,-77.4955533
09700409,Harris Teeter - Clarksburg Village Center,00409,HART,97,22700 Sweet Shrub Dr,Clarksburg,MD,"22700 Sweet Shrub Dr, Clarksburg, MD, USA",20871,True,39.2302232,-77.2507529
09700310,Harris Teeter - Goose Creek Village,00310,HART,97,42780 Creek View Plz,ASHBURN,VA,"42780 Creek View Plz, ASHBURN, VA, USA",20147,True,39.04354300000001,-77.5215439
09700242,Harris Teeter - Ashbrook Commons,00242,HART,97,20070 Ashbrook Commons Plz Unit 151,Ashburn,VA,"20070 Ashbrook Commons Plz Unit 151, Ashburn, VA, USA",20147,True,39.060448,-77.4704661
09700284,Harris Teeter - Broadlands Marketplace,00284,HART,97,43300 Southern Walk Plz,Ashburn,VA,"43300 Southern Walk Plz, Ashburn, VA, USA",20148,True,39.0083148,-77.50293959999999
09700230,Harris Teeter - Brambleton,00230,HART,97,42415 Ryan Rd,Brambleton,VA,"42415 Ryan Rd, Brambleton, VA, USA",20148,True,38.9858641,-77.5348921
09700325,Harris Teeter - Darnestown Rd,00325,HART,97,14101 Darnestown Rd,Darnestown,MD,"14101 Darnestown Rd, Darnestown, MD, USA",20874,True,39.104317,-77.2915613
09700326,Harris Teeter - Cascades Overlook,00326,HART,97,21399 Epicerie Plz,Sterling,VA,"21399 Epicerie Plz, Sterling, VA, USA",20164,True,39.0236676,-77.3964881
09700237,Harris Teeter Fuel - Stone Ridge Fuel,00237,HART,97,24441 Stone Springs Blvd,Sterling,VA,"24441 Stone Springs Blvd, Sterling, VA, USA",20166,True,38.9411813,-77.5449208
09700238,Harris Teeter - Stone Ridge Village Center,00238,HART,97,42015 Village Center Plz Ste 110,Aldie,VA,"42015 Village Center Plz Ste 110, Aldie, VA, USA",20105,True,38.9391671,-77.5489813
09700384,Harris Teeter - Downtown Crown,00384,HART,97,323 Copley Pl,Gaithersburg,MD,"323 Copley Pl, Gaithersburg, MD, USA",20878,True,39.1148589,-77.2077309
09700309,Harris Teeter - East Gate Marketplace,00309,HART,97,25401 Eastern Marketplace Plz,Chantilly,VA,"25401 Eastern Marketplace Plz, Chantilly, VA, USA",20152,True,38.91572,-77.4890238
09700085,Harris Teeter - Woodland Park Crossing,00085,HART,97,12960 Highland Crossing Dr,HERNDON,VA,"12960 Highland Crossing Dr, HERNDON, VA, USA",20171,True,38.9498443,-77.3947932
09700081,Harris Teeter - Spectrum at Reston Town Center,00081,HART,97,11806 Spectrum Ctr,Reston,VA,"11806 Spectrum Ctr, Reston, VA, USA",20190,True,38.9637375,-77.35542459999999
09700403,Harris Teeter - Fair Hill,00403,HART,97,18169 Town Center Dr,Olney,MD,"18169 Town Center Dr, Olney, MD, USA",20832,True,39.15352190000001,-77.0620229
09700373,Harris Teeter - Park Potomac,00373,HART,97,12525 Park Potomac Ave,Potomac,MD,"12525 Park Potomac Ave, Potomac, MD, USA",20854,True,39.0614508,-77.157324
09700338,Harris Teeter - Heritage Marketplace,00338,HART,97,13901 Heathcote Blvd,Gainesville,VA,"13901 Heathcote Blvd, Gainesville, VA, USA",20155,True,38.80792470000001,-77.6118001
09700329,Harris Teeter - Northrock Shopping Center,00329,HART,97,530 Fletcher Dr,Warrenton,VA,"530 Fletcher Dr, Warrenton, VA, USA",20186,True,38.7274221,-77.79491
09700328,Harris Teeter - North Bethesda Center,00328,HART,97,11845 Old Georgetown Rd,Rockville,MD,"11845 Old Georgetown Rd, Rockville, MD, USA",20852,True,39.0496329,-77.1091512
09700253,Harris Teeter - Pender,00253,HART,97,3905 Fair Ridge Dr,Fairfax,VA,"3905 Fair Ridge Dr, Fairfax, VA, USA",22033,True,38.8729795,-77.37425259999999
09700302,Harris Teeter - Tysons Corner,00302,HART,97,8200 Crestwood Heights Dr,MCLEAN,VA,"8200 Crestwood Heights Dr, MCLEAN, VA, USA",22102,True,38.9298008,-77.22746730000001
09700404,Harris Teeter - Downtown Bethesda,00404,HART,97,4805 Battery Ln,Bethesda,MD,"4805 Battery Ln, Bethesda, MD, USA",20814,True,38.9929695,-77.0968578
09700313,Harris Teeter - Bristow Center,00313,HART,97,10438 Bristow Center Dr,Bristow,VA,"10438 Bristow Center Dr, Bristow, VA, USA",20136,True,38.7324173,-77.5501189
09700308,Harris Teeter - Dunn Loring,00308,HART,97,2675 Avenir Pl,Vienna,VA,"2675 Avenir Pl, Vienna, VA, USA",22180,True,38.8811376,-77.22880289999999
09700303,Harris Teeter - Hastings Marketplace,00303,HART,97,10060 Market Cir,Manassas,VA,"10060 Market Cir, Manassas, VA, USA",20110,True,38.7390062,-77.45284450000001
09700307,Harris Teeter - West Broad,00307,HART,97,301 W Broad St # A,Falls Church,VA,"301 W Broad St # A, Falls Church, VA, USA",22046,True,38.883442,-77.1737531
02900310,Kroger - Harrisonburg,00310,KROGER,29,1790 E Market St,Harrisonburg,VA,"1790 E Market St, Harrisonburg, VA, USA",22801,True,38.4335487,-78.8415998
09700231,Harris Teeter - Adams Morgan,00231,HART,97,1631 Kalorama Rd NW,Washington,DC,"1631 Kalorama Rd NW, Washington, DC, USA",20009,True,38.9219744,-77.0380169
09700352,Harris Teeter - Constitution Square,00352,HART,97,1201 1st St NE,Washington,DC,"1201 1st St NE, Washington, DC, USA",20002,True,38.9058913,-77.0050976
09700383,Harris Teeter - The Yards,00383,HART,97,401 M St SE,Washington,DC,"401 M St SE, Washington, DC, USA",20003,True,38.8750896,-76.9983153
09700023,Harris Teeter - Lee Harrison,00023,HART,97,2425 N Harrison St,ARLINGTON,VA,"2425 N Harrison St, ARLINGTON, VA, USA",22207,True,38.8970142,-77.1374609
09700486,Harris Teeter - Arlington,00486,HART,97,624B N Glebe Rd,Arlington,VA,"624B N Glebe Rd, Arlington, VA, USA",22203,True,38.8774743,-77.1107961
09700083,Harris Teeter - Pentagon Row,00083,HART,97,900 Army Navy Dr,Arlington,VA,"900 Army Navy Dr, Arlington, VA, USA",22202,True,38.8656735,-77.0619873
09700371,Harris Teeter - Columbia Pike - George Mason,00371,HART,97,950 S George Mason Dr,Arlington,VA,"950 S George Mason Dr, Arlington, VA, USA",22204,True,38.8591889,-77.1027293
09700262,Harris Teeter - Market Square at National Landing,00262,HART,97,3600 S Glebe Rd Ste W100,Arlington,VA,"3600 S Glebe Rd Ste W100, Arlington, VA, USA",22202,True,38.8421951,-77.0517412
09700235,Harris Teeter - Shirlington,00235,HART,97,4250 Campbell Ave,Arlington,VA,"4250 Campbell Ave, Arlington, VA, USA",22206,True,38.841545,-77.090193
09700413,Harris Teeter - King St - Beauregard,00413,HART,97,4550 King St,Alexandria,VA,"4550 King St, Alexandria, VA, USA",22302,True,38.840312,-77.107289
09700279,Harris Teeter - Barcroft Plaza,00279,HART,97,6351 Columbia Pike,FALLS CHURCH,VA,"6351 Columbia Pike, FALLS CHURCH, VA, USA",22041,True,38.8355589,-77.1554367
09700133,Harris Teeter - Foxchase,00133,HART,97,4641 Duke St,Alexandria,VA,"4641 Duke St, Alexandria, VA, USA",22304,True,38.8127943,-77.1125848
09700398,Harris Teeter - Old Town Alexandria,00398,HART,97,735 N Saint Asaph St,Alexandria,VA,"735 N Saint Asaph St, Alexandria, VA, USA",22314,True,38.8125186,-77.0438891
542FC321,Harris Teeter - - N Virginia Spirits mCFC,FC321,HART,542,6306 Gravel Ave Ste D,Alexandria,VA,"6306 Gravel Ave Ste D, Alexandria, VA, USA",22310,True,38.7714042,-77.15613549999999
542FC809,Harris Teeter - - District of Columbia Spoke,FC809,HART,542,6306 Gravel Ave,Alexandria,VA,"6306 Gravel Ave, Alexandria, VA, USA",22310,True,38.7714042,-77.15613549999999
09700316,Harris Teeter - Shops at County Center,00316,HART,97,12745 Galveston Ct,Manassas,VA,"12745 Galveston Ct, Manassas, VA, USA",20112,True,38.6803199,-77.3633977
09700270,Harris Teeter - Apple Greene,00270,HART,97,10125 Ward Rd,Dunkirk,MD,"10125 Ward Rd, Dunkirk, MD, USA",20754,True,38.7178664,-76.6581015
09700488,Harris Teeter Fuel - Abbel Lane Fuel,00488,HART,97,45335 Abell House Ln,California,MD,"45335 Abell House Ln, California, MD, USA",20619,True,38.2986719,-76.5083338
09700487,Harris Teeter - St Marys Market Place,00487,HART,97,44900 Saint Andrews Church Rd,California,MD,"44900 Saint Andrews Church Rd, California, MD, USA",20619,True,38.3025032,-76.5233974
09700132,Harris Teeter - Hollymead Town Center,00132,HART,97,159 Community St,Charlottesville,VA,"159 Community St, Charlottesville, VA, USA",22911,True,38.1274295,-78.4437544
02900334,Kroger - Rio Hill,00334,KROGER,29,1980 Rio Hill Ctr,Charlottesville,VA,"1980 Rio Hill Ctr, Charlottesville, VA, USA",22901,True,38.0891072,-78.47404
